C:\Users\Public\Documents\Thermo\RheoWin\Data\2017\Karl\teste6  14.08.32.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 11.10.2017 / 13:59:23 / HAAKE RheoWin 4.63.0003
Substance / Sample no: teste6 / 

;GP in 1/s;Tau in Pa;Eta in Pas;T in °C;t in s;t_seg in s;
1|1; ;0,06978; ; ;17,86;7,239;
1|2; ;0,09985; ; ;22,75;12,13;
1|3; ;0,1388; ; ;27,47;16,85;
1|4; ;0,2299; ; ;32,18;21,56;
1|5; ;0,3487; ; ;36,91;26,29;
1|6; ;0,5679; ; ;41,59;30,97;
1|7; ;0,9067; ; ;46,35;35,73;
1|8; ;1,485; ; ;51,07;40,45;
1|9; ;2,563; ; ;55,93;45,31;
1|10; ;2,770; ; ;60,67;50,05;
2|1; ;0,1010; ; ;101,6;40,38;
2|2; ;0,1021; ; ;129,7;68,44;
2|3; ;0,1047; ; ;149,0;87,80;
2|4; ;0,1108; ; ;162,5;101,3;
2|5; ;0,1266; ; ;172,0;110,8;
2|6; ;0,1780; ; ;178,6;117,4;
2|7; ;0,6871; ; ;186,3;125,1;
2|8; ;0,1472; ; ;194,0;132,8;
2|9; ;0,04878; ; ;200,8;139,6;
2|10; ;0,01396; ; ;206,7;145,5;
2|11; ;0,03068; ; ;211,9;150,7;
3|1;0,0009986;0,04055;40,61; ;245,4;33,01;
3|2;0,002151;0,07458;34,68; ;278,6;66,18;
3|3;0,004638;0,1433;30,90; ;311,8;99,34;
3|4;0,009998;0,2774;27,75; ;344,9;132,5;
3|5;0,02154;0,5251;24,38; ;378,1;165,7;
3|6;0,04641;0,9982;21,51; ;411,3;198,8;
3|7;0,09999;1,788;17,88; ;444,4;232,0;
3|8;0,2154;2,640;12,25; ;477,5;265,1;
3|9;0,4641;3,046;6,563; ;510,7;298,3;
3|10;0,9999;3,197;3,197; ;543,8;331,4;
